word,translation,definition,example_usage
apt,易于,"Suitable, appropriate, or quick to learn.
","Her apt description of the situation perfectly captured its absurdity.
"
arborescent,树状的,"Having the characteristics of a tree; treelike in form or appearance.
","The arborescent structure of the coral reef was breathtaking, its branching formations resembling a vast underwater forest.
"
arcane,神秘,"Understood by only a select few; mysterious or secret.
","The professor's lecture on arcane alchemical processes left most of the students bewildered.
"
arch-villain,大反派,"The main villain, the most significant antagonist, the chief bad guy, the ultimate adversary.
","The arch-villain, Dr. Malice, cackled as his latest evil plan unfolded.
"
archaic,古老,"Belonging to a much earlier period and no longer in everyday use.
","The archaic language of the poem made it difficult for modern readers to understand.
"
archipelago,群岛,"A large group or chain of islands clustered in a sea or ocean.
","The Philippines is a stunning archipelago in Southeast Asia.
"
archrival,竞争对手,"A person's most significant and long-standing competitor or enemy.
","The Dodgers and the Giants, archrivals in baseball, faced off in a thrilling playoff game.
"
archway,拱道,"A curved structure over an opening, typically forming a passageway.
","We strolled hand-in-hand through the ancient archway, its stone worn smooth by centuries of footsteps.
"
ardent,热心,"Burning with passion or enthusiasm.
","The ardent fan waited for hours outside the stadium to get a glimpse of his favorite player.
"
arraignment,提审,"A formal reading of charges against someone accused of a crime, during which the accused is asked to plead guilty or not guilty.
","The defendant's arraignment is scheduled for next Tuesday.
"
arsenic,砷,A highly toxic element,"The farmer's well water was contaminated with arsenic.
"
artifice,技巧,"A skillful and often cunning or deceptive device or strategy.  It's something cleverly made or done, often to trick or mislead.
","The magician's amazing disappearing act was pure artifice; he'd cleverly hidden the rabbit in a compartment.
"
ascension,提升,"The act of rising to a higher position, rank, or level of success.","The ascension of the new CEO marked a significant shift in company strategy.
"
ascetic,苦行者,"One who practices severe self-discipline and abstention, especially for religious reasons.
","The monk lived an ascetic life, devoid of material possessions and sensual pleasures.
"
ascription,归属,"The act of assigning something to a cause or source;  attributing something to a person or thing.
","The controversial painting's ascription to Rembrandt sparked heated debate among art historians.
"
asinine,愚蠢,Extremely stupid or foolish.,"His asinine suggestion to solve the problem was to ignore it completely.
"
askance,斜视,"With suspicion, distrust, or disapproval.
","The old woman looked askance at the brightly colored, modern artwork.
"
aspersion,诽谤,"A damaging or false statement; an attack on a person's character or reputation.
","He refused to answer the question, fearing that any response would cast aspersions on his integrity.
"
assail,攻击,"To attack violently or aggressively.
","Doubt and fear assailed her as she stood at the precipice.
"
assiduous,刻苦,"Showing great care and perseverance.  Diligent.
","Her assiduous efforts finally paid off when she earned a promotion.
"
assuage,缓和,"To make an unpleasant feeling less intense.
","To assuage her guilt, she volunteered at the animal shelter.
"
astringency,,"A sharp, dry, or bitter taste.","The astringency of the unripe persimmon puckered my mouth.
"
atavistic,粗俗的,"something that seems to come from a very old, primitive part of our past, even if it's not something we consciously choose or need anymore.","His atavistic fear of snakes, likely inherited from ancestors who encountered venomous reptiles, caused him to panic at the sight of even a garden snake.
"
atone,赎罪,To make amends or reparation for a wrong or injury.,"After the argument, she tried to atone for her harsh words with a heartfelt apology.
"
atrophy,萎缩,"To waste away, typically due to the degeneration of cells, or to become weaker from lack of use.
","From years of inactivity, his leg muscles had begun to atrophy.
"
attorn,委托书,"To submit to the authority or control of someone else, especially in a legal context.
","The tenant, after the foreclosure, was forced to attorn to the new landlord.
"
auger,螺旋钻,"A tool with a revolving screw-like bit, used for boring holes, especially in wood or earth.
","The farmer used an auger to bore a hole for the fence post.
"
augur,(of an event or circumstance) portend a good or bad outcome.,"To predict or foreshadow a future event, often through some form of divination or observation of omens.
","The discovery of a new, viable energy source augurs well for the future of the planet.
"
auspicious,吉祥,"Favorable, fortunate, or promising success.
","The auspicious occasion of their wedding was celebrated with a grand feast.
"
austere,严厉的,"severe or strict in manner, appearance, or attitude","The austere monastery offered few comforts; its rooms were sparsely furnished and its diet simple.
"
austerity,冰霜,"A policy of strict economic and financial rigor, often involving reduced government spending and increased taxes, implemented typically during times of financial difficulty.  It's characterized by a decrease in public expenditure and a general atmosphere of frugality and restraint.
","After years of economic hardship, the country implemented a strict policy of austerity, cutting public spending drastically.
"
auteur,导演,"A filmmaker or other creative artist who has a distinctive vision and who exercises considerable control over their work, particularly in shaping the film's narrative, style, and themes to reflect their personal artistic expression.
","The film critic praised the director's distinct auteur style, evident in the recurring themes of alienation and urban decay throughout his filmography.
"
autocrat,独裁者,"A ruler who has absolute power and authority.
","The autocrat ruled his country with an iron fist, silencing dissent and ignoring the needs of his people.
"
autodidact,自学者,"A person who is self-taught, especially in a particular area of study.
","Despite lacking formal training, the autodidact mastered calculus through years of dedicated self-study.
"
avarice,贪婪,"excessive or insatiable greed for wealth or gain. It's a strong desire to accumulate more and more, often at the expense of others.","Scrooge's avarice was legendary; he hoarded his wealth and refused to share even a crumb with the needy.
"
avaricious,贪婪,"Having or showing an extreme greed for wealth or material gain.
","The avaricious king hoarded all the kingdom's gold, leaving his people to starve.
"
aver,断言,To state or assert confidently or forcefully.,"The defendant averred his innocence to the court.
"
aviary,鸟舍,"A large enclosure, typically a building, for keeping birds.
","The colorful birds in the zoo's aviary chirped merrily.
"
avocation,副业,"A hobby or leisure activity that one pursues for pleasure.
","His avocation was restoring antique clocks;  he spent his evenings meticulously cleaning and repairing them.
"
avow,承认,"To declare or admit openly and frankly.
","She stood before the court and avowed her innocence.
"
awash,泛滥,covered with water or filled with something to excess.,"The beach was awash with colorful seashells after the storm.
"
awning,棚,"A typically fabric structure extending from a building to provide shade or shelter from rain.
","The striped awning shaded the cafe's outdoor seating from the afternoon sun.
"
awry,歪,"Not going as planned; amiss; wrong.
","With the crucial button missing, the entire plan went awry.
"
axiomatic,公理化的,"Self-evidently true; requiring no proof.
","It's axiomatic that the sun will rise tomorrow.
"
bacchanal,发酒疯,"A wild, drunken revelry; a scene of boisterous and excessive merrymaking, often characterized by excessive drinking and lack of restraint.
","The fraternity party quickly devolved into a bacchanal of drunken singing, broken furniture, and general mayhem.
"
backslide,后退,revert to a worse state or previous bad habit,"After months of healthy eating, she backslid and ate an entire chocolate cake.
"
backwater,回水,"A stagnant, slow-moving part of a river or lake;  a place or situation that is isolated, neglected, or behind the times.
","The sleepy fishing village remained a cultural backwater, untouched by the rapid modernization of the rest of the country.
"
badgering,纠缠,persistently annoy or harass someone with repeated questions or requests.,"Despite her repeated badgering, he refused to reveal his secret recipe.
"
bafflement,困惑,"A state of complete bewilderment or perplexity;  a feeling of being utterly confused and unable to understand something.
","The complexity of quantum physics filled her with utter bafflement.
"
balk,拒绝,hesitate or be unwilling to accept an idea or undertaking.,"The horse balked at the jump, refusing to proceed.
"
balk,hesitate or be unwilling to accept an idea or undertaking.,"To hesitate or be unwilling to accept or do something.
","The horse balked at the jump, refusing to proceed any further.
"
ballads,歌谣,"A traditional form of verse, often a narrative song, that recounts a story, frequently of tragic or heroic themes, and is typically passed down orally.
","The singer's repertoire included several mournful ballads about lost love.
"
ballast,镇流器,"Something that adds weight or stability, often to prevent something from being easily moved or overturned.  It's usually inert and doesn't have a primary function beyond providing this stability.
","The ship took on ballast to improve its stability in the rough seas.
"
ballyhoo,大肆宣传,"A clamorous, sensational, and often exaggerated promotion or publicity.
","The media's ballyhoo surrounding the celebrity's new movie overshadowed the actual quality of the film.
"
balustrade,栏杆,"a railing or barrier, often made of stone, wood, or metal, that lines a staircase, balcony, or bridge.","The ornate balustrade surrounding the rooftop garden offered a breathtaking view of the city.
"
balustraded,有栏杆的,"Having a balustrade;  equipped with a railing and its supporting posts.
","The balustraded balcony offered a breathtaking view of the city.
"
bandit,土匪,"A robber, outlaw, or highwayman, often operating as part of a gang.
","The bandit, masked and armed, robbed the stagecoach.
"
bandy leg,罗圈腿,"A leg that is bent or crooked, often due to a deformity or injury.
","The old horse, crippled by age, had a pronounced bandy leg, making its gait unsteady.
"
banishment,流放,"The act of forcing someone to leave a place or group, often as a punishment.
","The king decreed the wizard's banishment from the kingdom for his dark magic.
"
banister,栏杆,"A support or railing found on staircases, often made of wood or metal, designed to prevent falls.
","He carefully gripped the banister as he descended the winding staircase.
"
barbarous,野蛮,"Characterized by savagery or brutality; uncivilized; extremely cruel or harsh.
","The barbarous treatment of prisoners of war shocked the international community.
"
barrage,弹幕,"A rapid and continuous outpouring of something, often overwhelming in its intensity.
","The soldiers faced a relentless barrage of artillery fire.
"
barring,"except for; if not for. barring a miracle, you’ll lose","Except for; with the exception of.
","Barring unforeseen circumstances, the meeting will commence at 2 pm.
"
bashing,扑,"Criticizing harshly and unfairly.
","The critic's review was nothing but bashing of the new film.
"
bastion,堡垒,"A strong, well-defended place; a stronghold or a center of resistance against something.  It can also refer to a person or institution that strongly defends a particular principle, belief, or way of life.
","The old castle stood as a bastion against the encroaching desert.
"
bated breath,屏息以待,"Holding one's breath,  or a feeling of anxious suspense,  with anticipation.
","The audience watched with bated breath as the magician prepared for his final, death-defying trick.
"
baton,指挥棒,"A slender stick or rod, often used as a symbol of authority or to conduct an orchestra or band.
","The conductor raised his baton, and the orchestra began to play.
"
batty,疯狂,"crazy, eccentric, or foolish. It's often used to describe someone who behaves in an odd or irrational way.","After spending three days lost in the woods, he was acting a bit batty.
"
bauble,玩具,"A small, inexpensive, and often gaudy ornament.
","The Christmas tree glittered with a collection of colorful baubles.
"
baulk,阻拦,"To hesitate or refuse to proceed.
","The horse balked at the jump, refusing to proceed.
"
bawdry,淫秽,"Obscene or lewd humor or language, often related to sex.
","The tavern's bawdry songs and raucous laughter spilled out onto the cobblestone street.
"
beached,搁浅,"High and dry on land, unable to return to its usual watery environment.
","The beached whale was a sad sight.
"
beat a dead horse,to waste effort on something when there is no chance of succeeding,"To continue arguing a point or pursuing a course of action that is already settled or unproductive.
","The candidate kept repeating the same old arguments; it was like beating a dead horse.
"
beatifically,赞美地,"In a way that expresses or suggests supreme happiness or blessedness.
","The grandmother smiled beatifically at her newborn grandchild.
"
become mired in,会陷入到,"To become stuck or bogged down, usually in something difficult or unpleasant, making progress slow or impossible.
","The peace negotiations became mired in petty disagreements and procedural hurdles.
"
bedevil,困擾著,trouble or annoy persistently. It suggests a relentless and irritating problem or issue.,"The faulty wiring continued to bedevil the technicians, causing repeated delays in the project.
"
bedevilling,困扰, to cause it trouble or difficulty in a persistent or annoying way.,"The constant ringing of the neighbor's dog was bedevilling her attempts to concentrate on her work.
"
bedlam,疯人院,"A scene of uproar and confusion.
","The aftermath of the hurricane was sheer bedlam;  people screamed, debris flew, and emergency sirens wailed incessantly.
"
befell,降临,To happen to; to occur to; to come upon.,"A terrible misfortune befell the unsuspecting traveler; he was robbed and left stranded in the desert.
"
beget,招致,"To produce or father (a child); to give rise to or cause.
","His ambition begot his downfall.
"
beguile,欺骗,"to charm or enchant someone, often in a deceptive way.","The magician's dazzling performance beguiled the audience, leaving them completely captivated.
"
behest,a person's orders or command.,"A command or urgent request, typically one that is difficult to refuse.
","At the behest of the CEO, the marketing team launched a new advertising campaign.
"
beholden,感激不尽 owing thanks or having a duty to someone in return for help or a service,"Feeling obligated to someone because of something they have done for you.
","I felt beholden to my grandfather for his years of support.
"
beleaguered,陷入困境,"Harassed or troubled persistently.
","The beleaguered city, under siege for months, finally surrendered.
"
belie,掩饰,contradict or fail to reflect something. It often suggests a discrepancy between appearance and reality.,"Her cheerful demeanor belied the anxiety she felt.
"
bellicose,好战的,warlike or aggressive.,"The bellicose general was known for his aggressive and warlike strategies.
"
belligerent,好战的,"Someone who is eager or inclined to fight, hostile, and aggressive.
","The belligerent customer shouted insults at the cashier.
"
bellwether,头羊,"An indicator of trends or a leader, especially one that shows what will happen in the future.
","The early sales figures for the new phone were considered a bellwether for the rest of the year's performance.
"
bemoan,哀叹,"To express grief or disappointment over.
","She bemoaned the lack of decent coffee shops in her new neighborhood.
"
benelux,比荷卢三国,"Belgium, the Netherlands, and Luxembourg.","The Benelux countries are known for their strong economic ties.
"
benevolent,仁慈,"Characterized by or expressing goodwill or kindly feelings; charitable.
","The benevolent king lowered taxes for his impoverished subjects.
"
benighted,愚昧,Lacking knowledge or enlightenment,"The benighted traveler, lost in the blizzard, stumbled blindly onward.
"
benzene,苯,"A colorless, highly flammable liquid hydrocarbon, often used in the production of plastics, resins, synthetic fibers, rubbers, and dyes.  It's a known carcinogen.  Its chemical structure is a six-carbon ring with alternating single and double bonds.
","Benzene is a known carcinogen found in cigarette smoke.
"
bequeath,遗赠,"To leave something to someone in a will.
","In her will, she bequeathed her antique jewelry collection to her granddaughter.
"
bereft,丧失,deprived of or lacking something. It often implies a sense of loss or sadness.,"Bereft of all hope, she stared out at the stormy sea.
"
beseech,恳求,"beg urgently or anxiously. It's a formal and intense way of asking for something, often used in a desperate or pleading tone.","I beseech you, grant me this one small favor.
"
besetting,困扰,constantly present or attacking,"One of the besetting sins of our time is procrastination.
"
besiege,围攻,"To surround (a place) with armed forces in order to capture it or force its surrender.  It can also mean to crowd around or overwhelm someone persistently.
","The protestors besieged the government building, demanding immediate action on climate change.
"
besotted,糊涂,Completely infatuated or obsessed,"Besotted with her new puppy, she spent hours playing fetch in the park.
"
bespectacled,戴眼镜,"Wearing eyeglasses.
","The bespectacled professor adjusted his glasses, peering intently at the microscope.
"
bestial,兽性的,"Having the qualities or characteristics of a beast; savagely cruel or depraved.
","The dictator's bestial cruelty shocked the world.
"
betel,蒟,"It's a climbing vine with heart-shaped leaves, often chewed with areca nut and slaked lime, producing a stimulating effect.
","He chewed a leaf of betel nut, his cheeks reddening slightly.
"
betroth,聘,"To formally pledge to marry someone.
","The families of the young lovers were overjoyed to announce their betrothal.
"
bettors,投注者,"People who wager money on the outcome of events.
","The racetrack was filled with excited bettors placing their wagers on the final race.
"
betwixt,中间,between,"The lost kitten hid betwixt two overflowing flowerpots.
"
bevy,a large group of people or things of a particular kind.,"A group or collection, especially of a specific type of thing, often charming and attractive.
","A bevy of swans glided gracefully across the lake.
"
bigotry,偏执,obstinate or intolerant devotion to one's own opinions and prejudices.,"The politician's speech was filled with bigotry, targeting immigrants with hateful and unfounded accusations.
"
bilge,舱底,"The lowest internal part of a ship's hull, where water and debris collect.
","The ship's bilge was flooded with seawater after the storm.
"
billowing,滚滚,"Moving or swelling out in a large curve, like a sail in a strong wind.
","The ship sailed on, its sails billowing in the strong wind.
"
biocide,杀菌剂,"A substance that kills living organisms.
","The farmer applied a biocide to his crops to control the infestation of insects.
"
biopiracy,生物盗版,"The unauthorized appropriation of biological resources, including genetic resources,  by individuals or companies from another country, often without proper compensation or recognition to the source community or nation.  This typically involves the commercialization of these resources or their associated knowledge without consent.
","Indigenous communities protested the biopiracy of their traditional medicinal plants by a multinational pharmaceutical company.
"
bisect,平分,"To cut something into two equal parts.
","The line bisected the circle, dividing it perfectly in half.
"
bituminous,沥青,"A type of coal that is relatively soft, black, and contains a high proportion of volatile matter.  It's often used as fuel and in the production of coke.
","The road crew repaired the pothole in the bituminous pavement.
"
blanch,make white or pale by extracting color.,"To make something white or pale, often from fear or shock.  It can also refer to briefly scalding food in boiling water.
","The chef blanched the almonds before adding them to the cake.
"
blarney,巧言令色,"Flattery, especially skillful and insincere, intended to persuade or charm.
","He used a lot of blarney to convince her to invest in his dubious scheme.
"
blasé,无聊的,"indifferent or unimpressed, often due to frequent exposure or overindulgence. Someone who is blasé is not easily excited or impressed.","After years of living in Paris, she became blasé about the Eiffel Tower, barely glancing at it during her daily commute.
"
blasphemous,亵渎的,"This word describes something that shows deep disrespect or contempt for a god or sacred things.
","His blasphemous remarks about the sacred text caused outrage among the congregation.
"
blasphemy,亵渎, act of insulting or showing a lack of reverence for God or something considered sacred. ,"The comedian's joke about the prophet was considered blasphemy by many in the audience.
"
blatantly,招摇,"In an obvious and unashamed way.
","He blatantly ignored the ""Do Not Enter"" sign.
"
blemished,有瑕疵的,imperfect or flawed,"The antique vase, though blemished with a small crack, was still incredibly valuable.
"
Blight,枯萎病,"Something that causes destruction or decay, often spreading gradually and insidiously, like a disease.  It can refer to a plant disease or a more general state of ruin or deterioration.
","The potato blight destroyed the entire harvest, leaving the farmers destitute.
"
blistering pace,飞快的步伐,"An extremely fast speed.
","Usain Bolt ran the 100 meters at a blistering pace.
"
blithely,愉快地,"a happy, carefree, and unconcerned manner, often without considering the consequences.","She blithely ignored the warning signs and continued hiking despite the approaching storm.
"
blitz,闪电战,"A sudden, intense, overwhelming attack or campaign.
","The team launched a blitz of advertising campaigns just before the product launch.
"
bloc,集团,"A group of countries or individuals with common interests who have joined together to exert influence.
","The Eastern European bloc splintered after the fall of the Soviet Union.
"
blood curdling,血液凝结,"Causing intense fear or horror.
","The bloodcurdling scream echoed through the empty house.
"
blooper,轶事,"A mistake, often a humorous one, made publicly, especially in a performance or broadcast.
","The comedian's blooper reel showed him tripping over the microphone cord mid-sentence.
"
blot,印迹,"A stain or mark made by ink or other liquid.  It can also refer to the act of absorbing or removing such a stain.
","He blotted the ink stain from the page with a tissue.
"
bludgeon,大棒,"A heavy, often blunt, weapon used to strike someone.
","The dictator used propaganda as a bludgeon to silence dissent.
"
blustery,暴风雨,"Characterized by strong, gusty winds and often stormy weather; also, tending to boast or be loud and boisterous.
","The blustery wind whipped the rain into a frenzy, making it difficult to walk.
"
bobbing,跳动,"appear or emerge suddenly and briefly, often from a liquid or from a hidden place. It suggests a quick, unexpected appearance.","The fishing bobber was bobbing gently on the surface of the lake.
"
bobbing up and down,上下摆动,"Moving vertically in a rhythmic, repeated pattern.
","The fishing bobber was bobbing up and down on the surface of the lake.
"
bode,预兆,to be an omen or indication of a particular outcome,"The dark clouds and howling wind bode ill for our picnic.
"
